exon	sample1	sample2	sample3	sample4	sample5	sample6
ENSG00000001629:033	748	627	986	569	987	1370
ENSG00000001630:001	5	2	2	3	3	3
ENSG00000001630:002	0	5	2	1	3	4
ENSG00000001630:003	231	185	177	181	224	238
ENSG00000001630:004	5	8	8	8	14	5
ENSG00000001630:005	0	0	0	0	0	0
ENSG00000001631:001	4	10	9	6	9	9
ENSG00000001631:002	28	34	31	20	21	35
ENSG00000001631:003	17	49	17	9	16	13
ENSG00000001631:004	12	37	10	7	13	14
ENSG00000001631:005	35	65	35	19	24	34
ENSG00000001631:006	152	188	134	88	101	109
ENSG00000001631:007	95	117	67	47	66	69
ENSG00000001631:008	0	0	0	0	0	0
ENSG00000001631:009	124	163	99	71	79	77
ENSG00000001631:010	99	113	83	49	53	45
ENSG00000001631:011	127	139	106	67	58	68
ENSG00000001631:012	115	126	89	52	60	71
ENSG00000001631:013	110	128	95	46	67	91
ENSG00000001631:014	66	88	64	34	43	56
ENSG00000001631:015	69	92	65	46	56	52
ENSG00000001631:016	114	135	102	66	76	82
ENSG00000001631:017	95	138	86	67	63	75
ENSG00000001631:018	112	156	90	67	66	78
ENSG00000001631:019	118	129	83	56	51	74
ENSG00000001631:020	88	98	58	41	45	50
ENSG00000001631:021	80	93	45	39	34	48
ENSG00000001631:022	73	92	37	31	39	48
ENSG00000001631:023	9	19	7	4	5	2
ENSG00000001631:024	7	0	8	0	2	0
ENSG00000001631:025	4	0	2	0	1	0
ENSG00000001631:026	84	96	56	39	56	70
ENSG00000001631:027	46	58	39	20	35	42
ENSG00000001631:028	62	72	46	20	40	52
ENSG00000001631:029	67	63	43	20	44	50
ENSG00000001631:030	0	0	0	0	0	0
ENSG00000001631:031	81	71	45	24	54	59
ENSG00000001631:032	62	57	30	19	46	46
ENSG00000001631:033	75	63	35	25	51	51
ENSG00000001631:034	76	66	35	29	59	50
ENSG00000001631:035	75	69	33	29	51	52
ENSG00000001631:036	67	65	33	25	46	49
ENSG00000001631:037	78	71	37	29	52	52
ENSG00000001631:038	96	74	48	39	61	43
ENSG00000001631:039	101	79	45	42	66	40
ENSG00000001631:040	0	0	0	0	0	0
ENSG00000001631:041	51	59	42	27	38	32
ENSG00000001631:042	57	77	61	41	45	53
ENSG00000001631:043	114	145	107	70	79	95
ENSG00000001631:044	58	70	54	31	35	45
ENSG00000001631:045	49	66	48	30	33	45
ENSG00000001631:046	29	22	18	13	22	10
ENSG00000001631:047	38	28	22	14	29	15
ENSG00000001631:048	8	4	11	7	7	5
ENSG00000001631:049	16	8	11	4	8	2
ENSG00000001631:050	30	37	38	18	25	20
ENSG00000001631:051	31	37	37	18	25	19
ENSG00000001631:052	25	31	27	13	22	14
ENSG00000001631:053	23	36	28	13	26	18
ENSG00000001631:054	14	18	22	8	18	14
ENSG00000001631:055	19	28	20	11	12	18
ENSG00000001631:056	17	23	17	11	9	13
ENSG00000001631:057	15	23	16	11	9	13
ENSG00000001631:058	14	22	17	11	7	12
ENSG00000001631:059	13	20	16	12	4	12
ENSG00000001631:060	13	18	14	12	3	11
ENSG00000001631:061	13	18	16	12	3	11
ENSG00000001631:062	14	18	16	12	5	10
ENSG00000001631:063	16	18	17	16	6	13
ENSG00000001631:064	3	7	6	7	3	5
ENSG00000001631:065	2	3	2	3	3	3
ENSG00000002016:001	2	0	5	0	3	1
ENSG00000002016:002	17	5	15	4	20	12
ENSG00000002016:003	8	3	4	4	3	5
ENSG00000002016:004	12	6	6	5	5	7
ENSG00000002016:005	22	16	11	4	18	19
ENSG00000002016:006	36	28	18	7	41	39
ENSG00000002016:007	24	15	9	5	22	25
ENSG00000002016:008	27	16	18	6	22	26
ENSG00000002016:009	22	27	31	8	39	34
ENSG00000002016:010	0	0	0	0	0	0
ENSG00000002016:011	41	40	55	22	74	62
ENSG00000002016:012	7	6	8	4	10	7
ENSG00000002016:013	3	1	9	0	1	4
ENSG00000002016:014	25	14	22	10	25	19
ENSG00000002016:015	0	0	0	0	0	0
ENSG00000002016:016	31	17	26	6	29	25
ENSG00000002016:017	6	3	4	0	3	12
ENSG00000002016:018	2	0	3	0	1	6
ENSG00000002016:019	2	1	5	0	1	6
ENSG00000002016:020	3	1	5	0	0	4
ENSG00000002016:021	15	15	22	3	21	25
ENSG00000002016:022	14	25	24	1	33	33
ENSG00000002016:023	10	22	17	0	21	24
ENSG00000002016:024	10	27	23	4	31	30
ENSG00000002016:025	2	2	4	2	3	5
ENSG00000002016:026	4	3	4	2	4	6
ENSG00000002016:027	6	3	5	1	6	8
ENSG00000002016:028	14	30	22	3	32	33
ENSG00000002016:029	13	24	19	4	27	33
ENSG00000002016:030	1	5	4	2	2	7
ENSG00000002016:031	2	8	5	2	0	11
ENSG00000002016:032	20	24	24	6	29	35
ENSG00000002016:033	1	5	1	0	0	3
ENSG00000002016:034	1	4	1	0	0	2
ENSG00000002016:035	1	4	1	1	0	5
ENSG00000002016:036	2	7	5	2	1	11
ENSG00000002016:037	20	20	24	9	24	40
ENSG00000002016:038	24	12	19	6	23	28
ENSG00000002016:039	16	9	17	2	19	17
ENSG00000002016:040	7	6	12	0	13	8
ENSG00000002016:041	0	0	0	0	0	0
ENSG00000002016:042	0	0	0	0	0	0
ENSG00000002016:043	0	0	0	0	0	0
ENSG00000002016:044	5	6	11	1	13	9
ENSG00000002016:045	5	6	10	1	12	8
ENSG00000002016:046	3	6	7	0	10	4
ENSG00000002016:047	3	6	7	0	10	3
ENSG00000002016:048	3	4	7	0	7	2
ENSG00000002016:049	3	4	7	0	7	2
ENSG00000002016:050	2	4	6	0	7	1
ENSG00000002016:051	1	3	4	0	5	0
ENSG00000002016:052	1	2	3	0	5	0
ENSG00000002016:053	1	2	2	0	5	0
ENSG00000002016:054	1	2	1	0	5	0
ENSG00000002016:055	1	2	1	0	5	0
ENSG00000002016:056	3	9	6	1	10	6
ENSG00000002016:057	7	14	16	2	15	11
ENSG00000002016:058	3	1	4	0	4	3
ENSG00000002016:059	10	11	15	3	19	14
ENSG00000002016:060	10	13	23	6	26	16
ENSG00000002016:061	0	0	0	0	0	0
ENSG00000002016:062	0	0	0	0	0	0
ENSG00000002016:063	2	6	11	3	10	4
ENSG00000002016:064	1	2	0	1	3	0
ENSG00000002330:001	0	0	0	1	0	1
ENSG00000002330:002	84	96	24	77	65	79
ENSG00000002330:003	66	69	19	60	51	56
ENSG00000002330:004	0	0	0	0	0	0
ENSG00000002330:005	0	0	0	0	0	0
ENSG00000002330:006	0	0	0	0	0	0
ENSG00000002330:007	183	235	82	206	195	207
ENSG00000002330:008	0	0	0	0	0	0
ENSG00000002330:009	2	1	2	2	5	2
ENSG00000002330:010	35	19	7	32	31	20
ENSG00000002330:011	49	44	13	58	63	38
ENSG00000002330:012	177	232	74	222	209	200
ENSG00000002330:013	0	0	0	0	0	0
ENSG00000002330:014	4	1	0	2	1	4
ENSG00000002330:015	0	0	0	0	1	0
ENSG00000002330:016	0	0	0	0	0	0
ENSG00000002330:017	0	0	0	0	0	0
ENSG00000002330:018	0	0	0	0	0	0
ENSG00000002549:001	207	143	382	317	309	371
ENSG00000002549:002	157	114	305	254	239	293
ENSG00000002549:003	166	126	339	298	268	329
ENSG00000002549:004	186	147	378	345	307	369
ENSG00000002549:005	245	163	427	436	357	417
ENSG00000002549:006	191	120	335	330	285	324
ENSG00000002549:007	0	0	0	0	0	0
ENSG00000002549:008	211	152	400	386	331	375
ENSG00000002549:009	128	112	269	255	213	250
